,Problem,Local Search Type,Result
367,RC201,0LS,519.142079746119
368,RC201,0LS,518.4993134105661
369,RC201,0LS,519.142079746119
370,RC201,0LS,518.4993134105661
371,RC201,0LS,519.296443075071
372,RC201,0LS,519.296443075071
373,RC201,0LS,518.4993134105661
374,RC201,0LS,518.4993134105661
375,RC201,2LS,518.4993134105661
376,RC201,2LS,518.4993134105661
377,RC201,2LS,518.4993134105661
378,RC201,2LS,519.142079746119
379,RC201,2LS,518.4993134105661
380,RC201,2LS,519.939209410623
381,RC201,2LS,518.4993134105661
382,RC201,2LS,518.4993134105661
383,RC201,2LS,518.4993134105661
384,RC201,2LS,518.4993134105661
385,RC201,20p10LS,519.161960971946
386,RC201,20p10LS,519.142079746119
387,RC201,20p10LS,519.939209410623
388,RC201,20p10LS,520.16240600085
389,RC201,20p10LS,519.142079746119
390,RC201,20p10LS,518.4993134105661
391,RC201,20p10LS,519.909665120078
392,RC201,20p10LS,519.142079746119
393,RC201,20p10LS,518.4993134105661
394,RC201,20p10LS,519.296443075071
395,RC201,20p10LS,1019.1420797461185
396,RC201,20p10LS,1019.2964430750706
397,RC201,20p10LS,1018.499313410566
398,RC201,20p10LS,1018.499313410566
399,RC201,20p10LS,1019.2964430750706
400,RC201,20p10LS,1019.1420797461185
401,RC201,20p10LS,1018.499313410566
402,RC201,20p10LS,1020.978698927895
403,RC201,20p10LS,1018.499313410566
404,RC201,20p10LS,1018.499313410566
405,RC201,20p10LS,1019.2964430750706
406,RC201,20p10LS,1019.1420797461185
407,RC201,20p10LS,1019.1420797461185
408,RC201,20p10LS,1019.1420797461185
409,RC201,20p10LS,1019.1619609719462
410,RC201,20p10LS,1019.1420797461185
411,RC201,20p10LS,1018.499313410566
412,RC201,20p10LS,1019.1420797461187
413,RC201,20p10LS,1019.1420797461187
414,RC201,20p10LS,1018.499313410566
415,RC201,20p10LS,1019.1420797461187
416,RC201,20p10LS,1019.8047273074988
417,RC201,20p10LS,1018.499313410566
418,RC201,20p10LS,1018.499313410566
419,RC201,20p10LS,1019.9392094106233
420,RC201,20p10LS,1018.499313410566
421,RC201,20p10LS,1018.499313410566
422,RC201,20p10LS,1018.499313410566
423,RC201,20p10LS,1019.1420797461185
424,RC201,20p10LS,1019.1420797461185
425,RC201,20p10LS,1018.499313410566
